ten_case_study,anh_case_study,url_case_study,id_thanh_vien
PIKA,asset/image/case-study/pikaranking.webp,https://www.figma.com/proto/5kGeVbYKYvJlT8FoddApsY/Pika-Robot---Ranking--Featured-?page-id=1%3A3&node-id=268-950&p=f&viewport=25%2C439%2C0.04&t=9oeDM74qYNXiT5Bn-1&scaling=contain&content-scaling=fixed,nguyenhongduong;nguyenthidiu;nguyenthuhuyen;nguyenngoctuanlinh
IELTS Coach,asset/image/case-study/ieltscoach.webp,https://coachielts.giasu.ai/,thanhha;vucaocuong;nguyenphuongha
9Speak,asset/image/case-study/9speak.webp,https://www.figma.com/deck/rpAkSgTdutnr7lk38Nadw1,buivietlinh;daothithoan;holehuy;huaminhtrang
VibeCheck,asset/image/case-study/vibecheck.webp,https://www.figma.com/proto/e5vgs9PGX4VFKKRchvfwlb/Vibecheck?node-id=0-4921&p=f&viewport=917%2C1089%2C0.06&t=K09r51jtqMNyj7pb-1&scaling=min-zoom&content-scaling=fixed&page-id=0%3A1,levananh;nguyenthutrang;trantheanh;tranvietphu
CoCo,asset/image/case-study/cocointeractivepresentation.webp,https://www.figma.com/deck/QlzIz1Pea5il3Ijb8InwWv,hoangquocviet;phamvuvietanh;phamthucuc;dinhthithaihoa
VIPO,asset/image/case-study/searchvipo.webp,https://www.figma.com/deck/FZTLusCNwNVFriibvlqszi,huong;buivannam;nguyenhuyenmy
Todaii German,asset/image/case-study/todaiiinterview.webp,https://www.figma.com/proto/XOk1zCseSW1qupN7LgT77C/Todaii-German---VISA----Featured-?page-id=0%3A1&node-id=2090-11939&p=f&viewport=25%2C626%2C0.11&t=72KbrI8Zbsdln7Kg-1&scaling=min-zoom&content-scaling=fixed,nguyenhuyanh;nguyendinhkhanh;lethaiduy
AhaSlides,asset/image/case-study/templateahaslide.webp,https://www.figma.com/proto/4ia81sIQN7lexG4W5vkWM6/Ahaslides?node-id=1-1338&p=f&viewport=1003%2C725%2C0.1&t=tXfvUSceGittXS3l-1&scaling=min-zoom&content-scaling=fixed&starting-point-node-id=1%3A1338&page-id=0%3A1,lannguyen;trangtran
Meezy,asset/image/case-study/meezy.webp,https://www.figma.com/proto/w9pGBjwW3doEs2pPJHxKXB/Meezy.vn-Case-Study?node-id=1-24490&p=f&viewport=918%2C672%2C0.04&t=rzR0dGjtAz7iQryO-1&scaling=min-zoom&content-scaling=fixed&page-id=0%3A1,duchai;hongdam;thu;duchanh
Vietnam Career Explorer,asset/image/case-study/vietnamcareerexplorer.webp,https://www.figma.com/deck/cyojEijZIRFYLY3IAIOZBe/Vietnam-Career-Explorer---4CE--Featured-?node-id=2-56047&p=f&viewport=739%2C386%2C0.39&t=xDut8az8bue2Fqq1-1&scaling=min-zoom&content-scaling=fixed&page-id=0%3A1,tranhanh;thuha;thao
Tối ưu UX mở thẻ tín dụng Online MSB,asset/image/case-study/msb.webp,https://www.msb.com.vn/khach-hang-ca-nhan/the/,hungpham
Trà Đá Công Sở,asset/image/case-study/trada.webp,https://www.figma.com/deck/ZtYch0RpToyrztF6Po8Ko2,luunhatphong;dothuha;quyentolinh;quachthunga
Jobify,asset/image/case-study/jobify.webp,https://www.figma.com/proto/R3Cpknjkqs7qkUnawhmEd5/Jobify-Case-Study?node-id=0-4645&p=f&viewport=399%2C329%2C0.09&t=VUTbGbf47CKZcoe2-1&scaling=min-zoom&content-scaling=fixed&starting-point-node-id=0%3A4645&page-id=0%3A1,haibac;tramanh;hoangnhung
Aoi,asset/image/case-study/aoi.webp,https://www.figma.com/deck/ejm6hOH8crc546CZZBoERf,ngoclong;phamduythanh;duongngochuyen
TinyStep,asset/image/case-study/tinystep.webp,https://www.figma.com/deck/KwdBbbBTSX8f64P7yKLzsq,trinhquynhanh;caothilinh;vuthiphuongthao;damthanhtung
Pensieve,asset/image/case-study/pensieve.webp,https://www.figma.com/proto/S0s8nUQSJGQb3BRsSkh3kN/Pensieve-Case-Study?node-id=1-6065&p=f&viewport=341%2C1902%2C0.08&t=gSD4ei1kYd6lYuaS-1&scaling=contain&content-scaling=fixed&page-id=0%3A1,truongthuhuong;lebach;huyenthuong;nguyentrungthanh
Antmanga,asset/image/case-study/antmanga.webp,https://www.figma.com/proto/gW5uFwjn9a2tcJQbsryBwR/Ant-Manga-Case-Study?node-id=1-2693&p=f&viewport=918%2C672%2C0.05&t=vCeywhBEbtCH1SGz-1&scaling=min-zoom&content-scaling=fixed&page-id=0%3A1,nam;nhung;haianh
Tab & Task,asset/image/case-study/tabtaskonboarding.webp,https://www.figma.com/deck/F8vhfPLXUM3F93sJnuwNCH,nguyenbinhminh;nguyenthanhthao;tranvanvu
