quesstion_id,question,img_code,answer_a,answer_b,answer_c,answer_d,type
1,"Khi chọn mẫu nghiên cứu, accessibility quan trọng vì?",,Giúp giảm số lượng nhóm nghiên cứu,Ảnh hưởng khả năng tiếp cận đúng đối tượng,Không liên quan đến độ tin cậy,Luôn đảm bảo đa dạng,single_choice
6,Việc chỉ rõ các tiêu chí đánh giá thành công (success metrics) trong PRD giúp:,,Không cần thu thập dữ liệu người dùng,Nhanh chóng xác định được các phương pháp đo lường để lấy được chỉ số cần thiết ,Giảm thời gian dev,Hiểu được khi nào sản phẩm được coi là đạt yêu cầu,multiple_choice
220,"Dưới đây là số lượng DAU của một ứng dụng:
Day 0: 102
Day 1: 132
Day 3: 139
Day 4: 188
Day 5: 170
Day 6: 204
Day 7: 192

Số lượng WAU của ứng dụng trong tuần đó có thể là?",72510,150,250 ,345 ,500 ,multiple_choice
16,"Trong survey, câu hỏi nào dưới đây không thiên vị?",,"Mọi người đều muốn tăng lương, bạn có đồng ý không?
",Tại sao bạn lại phản đối việc tăng lương?,Bạn nghĩ gì về chính sách tăng lương hiện nay? ,Bạn có đồng ý rằng việc tăng lương là cần thiết cho một xã hội công bằng không?,single_choice
19,"Câu hỏi nào dưới đây là dạng biased question?
",,Bạn nghĩ gì về việc học online?,Bạn có gặp khó khăn gì khi học online không?,Tại sao bạn lại thấy học online không hiệu quả? ,Bạn có từng tham gia lớp học online chưa?,single_choice
24,Ví dụ về selection bias?,,Random chọn trên nhiều nhóm,Chỉ chọn mẫu từ người quen,Phân tầng mẫu hợp lý,Kết hợp nhiều kênh khác nhau,single_choice
27,Re-activation Offers giúp tăng retention của nhóm user nào?:,,Return User,New User,Churn user ,Daily User,single_choice
29,Secondary research primarily relies on which of the following?,,New surveys,Interviews,Observations,Existing data,single_choice
32,Loại nghiên cứu nào liên quan đến việc phân tích dữ liệu lịch sử?,94615,Nghiên cứu sơ cấp,Nghiên cứu định tính,Nghiên cứu mô tả,Nghiên cứu thứ cấp,single_choice
35,"Phương pháp nghiên cứu Survey mang lại những lợi ích gì cho đội UX Researcher?
",,Quan sát để hiểu cách user tương tác với sản phẩm,"Khám phá sở thích, hành vi, nhu cầu,... của một nhóm người dùng có quy mô lớn ",Giải thích được nguyên nhân tăng / giảm của chỉ số sản phẩm thông qua phân tích hồi quy,Giúp khai thác thêm nhiều thông tin về người dùng với các câu hỏi follow up ,single_choice
38,"Để đưa ra quyết định thiết kế ứng dụng fitness, nhóm nghiên cứu muốn tìm hiểu những nhu cầu của người dùng chưa đươc giải quyết bởi các App hiện có trên thị trường. 

Nhóm nghiên cứu tiến hành khảo sát nhóm người yêu thích fitness và yêu cầu người dùng đánh giá mức độ hài lòng với các app thuộc top đầu bảng xếp hạng, đánh giá theo thang điểm từ 1 đến 5. 

Dựa vào dữ liệu này, nhóm nghiên cứu tính điểm hài lòng trung bình cho từng ứng dụng. Đây là loại nghiên cứu nào?",,"Nghiên cứu khả năng sử dụng (Usability research)
",Nghiên cứu thứ cấp (Secondary research),Nghiên cứu định lượng (Quantitative research) ,Nghiên cứu định tính (Qualitative research),single_choice
41,Nghiên cứu định lượng chủ yếu liên quan đến gì?,50386,Mô tả tường thuật,Nhóm tập trung nhỏ,Dữ liệu đo lường được,Ý kiến chủ quan,single_choice
44,Nghiên cứu định lượng thường tạo ra loại dữ liệu nào?,165947,Bản ghi âm,Dữ liệu hình ảnh,Dữ liệu tường thuật,Dữ liệu số,single_choice
47,Nghiên cứu định lượng yêu cầu loại mẫu nào?,154215,Nhỏ và cụ thể,Cá nhân ngẫu nhiên,Ý kiến chuyên gia,Mẫu lớn và đại diện,single_choice
