module,day,topic_name,aspect_1,aspect_2,aspect_3,aspect_4
syllabus,1,Introduction & Fundamental,Bootcamp entrance assessment test,,,
syllabus,1,Introduction & Fundamental,Bootcamp Introduction,,,
syllabus,1,Introduction & Fundamental,Product Life Cycle,,,
syllabus,1,Introduction & Fundamental,Introduction to Product Development,,,
syllabus,1,Introduction & Fundamental,"Understand the goal of a PM, PD, UXR, BA",,,
syllabus,1,Introduction & Fundamental,"Lean Startup, Design Thinking & Agile combination",,,
syllabus,1,Introduction & Fundamental,Product Metrics,,,
syllabus,1,Introduction & Fundamental,Scrum introduction,,,
syllabus,1,Introduction & Fundamental,Project ideation,Start with the problem,,
syllabus,1,Introduction & Fundamental,Project ideation,Generating ideas,,
syllabus,1,Introduction & Fundamental,Project ideation,Criteria for a good idea,,
syllabus,1,Introduction & Fundamental,Project ideation,Divergent and convergent mindset,,
syllabus,1,Introduction & Fundamental,Project ideation,How to find an underserved need.,,
syllabus,1,Introduction & Fundamental,Case study,,,
syllabus,2,Introduction to Market Research,Introduction to Market & User Research,,,
syllabus,2,Introduction to Market Research,Research Classification,Qualitative research & quantitative research,,
syllabus,2,Introduction to Market Research,Research Classification,"Primary research, Secondary research",,
syllabus,2,Introduction to Market Research,Research Classification,Exploratory Research,,
syllabus,2,Introduction to Market Research,Research Classification,Descriptive Research,,
syllabus,2,Introduction to Market Research,Research Classification,Explanatory Research,,
syllabus,2,Introduction to Market Research,Conducting Market Research,Research Objective,,
syllabus,2,Introduction to Market Research,Conducting Market Research,Research design,,
syllabus,2,Introduction to Market Research,Conducting Market Research,Collect data,,
syllabus,2,Introduction to Market Research,Conducting Market Research,Select sample,,
syllabus,2,Introduction to Market Research,Conducting Market Research,Sample size calculation,,
syllabus,3,Interview & survey,Questionnaire Design,,,
syllabus,3,Interview & survey,Participant screening,,,
syllabus,3,Interview & survey,Question Content,How to create unbiased questions,,
syllabus,3,Interview & survey,Question Content,Language and terminology,,
syllabus,3,Interview & survey,Question Content,What is doublespeak & how to avoid.,,
syllabus,3,Interview & survey,Question Content,Question arrangement and structure,,
syllabus,3,Interview & survey,Question format,Closed-ended questions,Multiple choice,
syllabus,3,Interview & survey,Question format,Closed-ended questions,Single choice,
syllabus,3,Interview & survey,Question format,Closed-ended questions,Likert scale,
syllabus,3,Interview & survey,Question format,Closed-ended questions,Frequency scale...,
syllabus,3,Interview & survey,Question format,Open-ended questions,,
syllabus,3,Interview & survey,Question format,When & How to choose among questions type,,
syllabus,3,Interview & survey,Question format,Pre-test and Revise,,
syllabus,3,Interview & survey,Interview Method,,,
syllabus,4,Statistic 101 & Hypothesis Testing,Data Cleaning,Remove duplicates,,
syllabus,4,Statistic 101 & Hypothesis Testing,Data Cleaning,Handle missing values,,
syllabus,4,Statistic 101 & Hypothesis Testing,Data Cleaning,Check and correct data,,
syllabus,4,Statistic 101 & Hypothesis Testing,Data Cleaning,Standardize data,,
syllabus,4,Statistic 101 & Hypothesis Testing,Data Cleaning,Handling outliers,,
