STT 	 Sản Phẩm                                                                                                                       	 Quy Cách                                                                                                            	 Phân nhóm Cấp 1    	 Phân nhóm Cấp 2                     	 Số đăng ký / Số công bố
   1	 Bột muối dạ dày Nabicar-AC gói 100g Á Châu                                                                                     	 Gói 100g                                                                                                            	 Thực phẩm chức năng	 Tiêu Hóa Gan Mật                    	 11061/2019/ĐKSP
   2	 Valiera 2mg Hộp 1 Vỉ x 30 Viên nén bao phim Abbott                                                                             	 Hộp 1 vỉ 30 viên                                                                                                    	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 VN-19225-15
   3	 Elthon 50mg Hộp 2 vỉ x 10 viên nén Abbott                                                                                      	 Hộp 2 Vỉ x 10 Viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiêu hóa - gan mật            	 VN-8408-09
   4	 Rabe-G 20mg Hộp 3 vỉ x 10 viên nén bao phim tan trong ruột Abbott                                                              	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiêu hóa - gan mật            	 893110091524
   5	 Sữa GLUCERNA hương vani chai 220ml Abbott                                                                                      	 Chai                                                                                                                	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 10/2023/ĐKSP
   6	 Betaserc 16mg Hộp 3 vỉ x 20 viên nén Abbott                                                                                    	 Hộp 3 vỉ x 20 viên nén                                                                                              	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 VN-17206-13
   7	 Duphaston 10mg Hộp 1 vỉ x 20 viên nén Abbott                                                                                   	 Hộp 1 Vỉ x 20 Viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 870110067423
   8	 Betaserc 24mg Hộp 5 vỉ x 10 viên nén Abbott                                                                                    	 Hộp 5 vỉ x 10 viên nén                                                                                              	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 300110779724
   9	 Sữa Ensure Gold StrengthPro hương vani chai 237ml Abbott                                                                       	 chai 237ml                                                                                                          	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 09/2023/ĐKSP
  10	 Duphalac Hộp 20 gói x 15ml Abbott                                                                                              	 hộp 20 gói x 15 ml                                                                                                  	 Thuốc không kê đơn 	 Thuốc tiêu hóa - gan mật            	 870100067323
  11	 Klacid MR Hộp 1 Vỉ x 5 Viên nén giải phóng biến đổi Abbott                                                                     	 Hộp 1 vỉ x 5 Viên                                                                                                   	 Thuốc kê đơn       	 Thuốc kháng sinh                    	 800110982024
  12	 Klacid 250mg Hộp 1 vỉ x 10 viên nén Abbott                                                                                     	 Hộp 1 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc kháng sinh                    	 800110779624
  13	 Klacid 125mg/5ml Hộp 1 lọ 60ml cốm pha hỗn dịch uống Abbott                                                                    	 Hộp 1 Chai X 60ml                                                                                                   	 Thuốc kê đơn       	 Thuốc kháng sinh                    	 899110399323
  14	 Abmexic 7.5 Hộp 3 vỉ x 10 viên nén Abbott                                                                                      	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Chống viêm, giảm sưng phù nề        	 VD-22846-15
  15	 Glotadol 500 Hộp 10 vỉ x 10 viên nén dài bao phim Abbott                                                                       	 Hộp 10 vỉ x 10 viên                                                                                                 	 Thuốc không kê đơn 	 Giảm đau hạ sốt                     	 VD-22851-15
  16	 Glotadol 250mg Hộp 20 gói x 2,5 gam Abbott                                                                                     	 Hộp 20 gói                                                                                                          	 Thuốc không kê đơn 	 Giảm đau hạ sốt                     	 VD-22459-15
  17	 Glotadol 150mg Hộp 20 gói x 2 gam Abbott                                                                                       	 Hộp 20 gói                                                                                                          	 Thuốc không kê đơn 	 Giảm đau hạ sốt                     	 893100091324
  18	 Glogyl Hộp 2 vỉ x 10 viên nén Abbott                                                                                           	 Hộp 2 Vỉ x 10 Viên                                                                                                  	 Thuốc kê đơn       	 Thuốc kháng sinh                    	 893115326323
